item_id,headline,category,source,collected_at,suggested_label,suggested_rules,gold_label,split,annotator,notes
1,Senate rejects resolution to block Trump from striking Iran,domestic,The Washington Post,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
2,Charles 'Sonny' Burton is slated for execution. He hopes the Alabama governor will grant him clemency,domestic,CNN,1773149097430,passive_clause,passive_dependency_or_aux_vbn,passive_clause,,codex,
3,"Gigantic 'Heat Dome' Baking The Whole US May Be Historic, Scientists Say",domestic,ScienceAlert,1774359829534,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
4,"Iran Update Special Report, April 14, 2026 Institute for the Study of War",world,Unknown,1776288260900,noun_phrase_fragment,no_finite_clause_nominal_fragment,noun_phrase_fragment,,codex,
5,How Pakistan Is Trying to Reshape Its Image Abroad,world,The New York Times,1774359829879,question_form,question_punctuation_or_interrogative_start,question_form,,codex,
6,"At least five killed in massive wave of Russian strikes across Ukraine, officials say",world,BBC,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
7,Trump threatens to shred UK trade deal over Starmer's Iran war opposition politico.eu,domestic,Unknown,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
8,Media association condemns 'violent assault' on CNN crew by Israeli soldiers theguardian.com,world,Unknown,1774755272717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
9,Civilians Killed by Strikes in Gulf States Are Almost All Migrant Workers,world,The New York Times,1773149097737,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
10,House Democrats file articles of impeachment against Hegseth,domestic,CBS News,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
11,Trump just ended a 165 year tradition by signing your dollar bills here's why no president has ever done it before,domestic,Yahoo Finance,1774755272331,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
12,Pope Leo says aerial military strikes should be banned,world,Reuters,1774359829880,passive_clause,passive_dependency_or_aux_vbn,passive_clause,,codex,
13,Iran's Fars report gas infrastructure hit as conflict broadens to energy assets investingLive,world,Unknown,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
14,"U.S. Military Action Against Iran: Over Half Of Voters Oppose It, 74% Oppose Sending Ground Troops Into Iran, Quinnipiac University National Poll Finds; Vast Majority Expects The Conflict To Last Months Or More",domestic,Quinnipiac University Poll,1773149097431,coordination,coordination_cc_conj_pattern,coordination,,codex,
15,Nepal's former prime minister KP Sharma Oli arrested over deaths during Gen Z protests,world,CNN,1774755272716,simple_clause,finite_subject_verb_clause,passive_clause,,codex,
16,How does the current global oil crisis compare with the 1973 oil embargo?,world,Al Jazeera,1774359829879,question_form,question_punctuation_or_interrogative_start,question_form,,codex,
17,New York Gov. Kathy Hochul pushes for NYC pied à terre tax to close spending deficit,domestic,ABC7 New York,1776288260716,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
18,"The Iran War Is Giving China Time, Russia Money, and North Korea an Opening 19FortyFive",world,Unknown,1776288260900,coordination,coordination_cc_conj_pattern,coordination,,codex,
19,Wife Of Teacher Killed In High School Prank Wants Charges Dropped,domestic,HuffPost,1773149097430,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
20,Should You Need to Prove Citizenship to Vote? Ask Kansas.,domestic,The New York Times,1774359829534,question_form,question_punctuation_or_interrogative_start,question_form,,codex,
21,One million signatures call to suspend EU Israel association agreement,world,Euronews,1776288260900,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
22,"Syracuse University Chancellor Kent Syverud diagnosed with brain cancer, steps down",domestic,Syracuse.com,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
23,China protests to Japan about Tokyo embassy break in,world,Reuters,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
24,How successful has Trump been in his now one month old war in Iran?,domestic,Euronews.com,1774755272331,question_form,question_punctuation_or_interrogative_start,question_form,,codex,
25,US investigators begin search of Epstein's former ranch in New Mexico,domestic,Al Jazeera,1773149097430,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
26,"Severe weather causes damage to Ann Arbor buildings, power outages, flooded roads",domestic,CBS News,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
27,ICE at Airports Trains Us to Accept Being Terrorized in Our Daily Lives,domestic,The Intercept,1774755272331,passive_clause,passive_dependency_or_aux_vbn,simple_clause,,codex,
28,GOP leaders struggle to keep $75B immigration plan narrow,domestic,Politico,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
29,IDF hits Hezbollah command centers and finance body as rockets fly at northern Israel,world,The Times of Israel,1773149097736,coordination,coordination_cc_conj_pattern,coordination,,codex,
30,"At least 250 people missing, including Rohingya and Bangladeshis, after boat sinks in Andaman Sea",world,AP News,1776288260900,coordination,coordination_cc_conj_pattern,noun_phrase_fragment,,codex,
31,Bills to pay FAA and TSA workers during shutdowns get introduced but keep stalling in Congress,domestic,AP News,1774755272330,passive_clause,passive_dependency_or_aux_vbn,passive_clause,,codex,
32,Missing aid boats land in Cuba after being located by Mexican navy nbcnews.com,domestic,Unknown,1774755272330,passive_clause,passive_dependency_or_aux_vbn,simple_clause,,codex,
33,Hormuz traffic remains at a trickle as US blockade of Iranian ports appears to hold,domestic,The Times of Israel,1776288260716,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
34,Houston in showdown with state over immigration ordinance,domestic,The Texas Tribune,1776288260717,noun_phrase_fragment,no_finite_clause_nominal_fragment,noun_phrase_fragment,,codex,
35,"Rubio says Iran war to last weeks, no US ground troops needed",world,France 24,1774755272716,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
36,President Milei Is Rebranding the Atrocities of Argentina's Dictatorship,world,The New York Times,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
37,U.S. orders more diplomats to leave Middle East,world,The Washington Post,1773149097737,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
38,"Trump threats, U.S. troop build up raise specter of battle for Hormuz",world,The Washington Post,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
39,"Iran Update Evening Special Report: March 9, 2026 Institute for the Study of War",world,Unknown,1773149097737,noun_phrase_fragment,no_finite_clause_nominal_fragment,noun_phrase_fragment,,codex,
40,Rand Paul eyes next week for Mullin DHS confirmation hearing,domestic,Politico,1773149097430,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
41,"Spanberger amends, signs sweeping gun legislation reshaping Virginia's firearm laws",domestic,Virginia Mercury,1776288260717,noun_phrase_fragment,no_finite_clause_nominal_fragment,coordination,,codex,
42,Cargo Spacecraft Suffers Glitch En Route to ISS newser.com,world,Unknown,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
43,Immigration arrest at SFO sparks concerns over potential breach of California sanctuary law,domestic,Mission Local,1774359829534,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
44,"Navy shipyard workers approve a contract deal with Bath Iron Works, ending weeklong strike",domestic,AP News,1774755272330,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
45,Hungary's prime minister elect vows to suspend 'propaganda machine' state media,world,The Guardian,1776288260900,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
46,"Hundreds killed in Haiti drone strikes, including 60 civilians: Report",world,Al Jazeera,1773149097737,other,fallback_other,noun_phrase_fragment,,codex,
47,It's Tax Day. Treasury says 53 million filers used new Trump tax breaks before the deadline,domestic,AP News,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
48,Thune: Talking filibuster 'more complicated and risky' than people realize,domestic,Politico,1773149097430,coordination,coordination_cc_conj_pattern,other,,codex,
49,Flotilla carrying activists and aid for Palestinians in Gaza sets sail from Spain,world,AP News,1776288260900,coordination,coordination_cc_conj_pattern,simple_clause,,codex,
50,"Nearly 60% of U.S. farmers say their finances are getting worse as fertilizer, fuel costs rise: Survey",domestic,CNBC,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
51,"US, Iran spar over status of Iranian warship sunk by submarine",world,Military Times,1773149097737,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
52,Denmark holds early elections spurred by Trump's threats to take Greenland,world,NPR,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
53,Stitt picks energy executive Alan Armstrong as next Oklahoma senator,domestic,Politico,1774359829534,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
54,Giorgia Meloni's big electoral setback in Italy,world,The Economist,1774359829879,noun_phrase_fragment,no_finite_clause_nominal_fragment,noun_phrase_fragment,,codex,
55,Iran War News Live Updates: Blockade 'Fully Implemented' as Mediators Push for U.S. Iran Ceasefire Extension,world,WSJ,1776288260900,other,fallback_other,other,,codex,
56,"'Premature': Anthropic still in trouble despite court win, lawyers and lobbyists say",domestic,Politico,1774755272331,coordination,coordination_cc_conj_pattern,other,,codex,
57,"Airstrikes batter Iran as it attacks Israel and Gulf states, while diplomatic efforts gather pace",world,AP News,1774359829879,coordination,coordination_cc_conj_pattern,simple_clause,,codex,
58,Record Number of T.S.A. Employees Called Out on Friday,domestic,The New York Times,1774755272330,simple_clause,finite_subject_verb_clause,noun_phrase_fragment,,codex,
59,2 Weeks of Iran War Released More Carbon Emissions Than 84 Countries Do Yearly,world,Truthout,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
60,Trump wants a deadlocked Congress to move on AI. Frustrated states say they already have,domestic,NPR,1774755272331,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
61,Pakistan and Bangladesh migrants are faking they are gay to get asylum in the UK: Report,world,The Times of India,1776288260900,coordination,coordination_cc_conj_pattern,simple_clause,,codex,
62,"Democrats threaten more Iran war powers votes, call for Hegseth, Rubio to testify",domestic,CNBC,1773149097430,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
63,FBI hunts for clues after 2 men charged with lighting bombs at NYC protest,domestic,AP News,1773149097430,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
64,"In group chats and meetings, Republicans are privately petrified the Iran war could cost them the midterms",domestic,NBC News,1776288260717,passive_clause,passive_dependency_or_aux_vbn,simple_clause,,codex,
65,F.B.I. Said to Dig Up Old Investigative Files on Democratic Lawmaker,domestic,The New York Times,1774755272331,other,fallback_other,noun_phrase_fragment,,codex,
66,"Who Is Balendra Shah, the Rapper Set to Be Nepal's Next Prime Minister?",world,The New York Times,1773149097736,question_form,question_punctuation_or_interrogative_start,question_form,,codex,
67,Raleigh Water Activates Stage 1 Water Restrictions as Drought Conditions Continue,domestic,RaleighNC.gov,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
68,Ukraine hits major Russian oil port near Finland,world,France 24,1774359829880,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
69,Guard: More could have been saved at Camp Mystic if more adults helped evacuate San Antonio Express,domestic,News,1776288260716,passive_clause,passive_dependency_or_aux_vbn,passive_clause,,codex,
70,Bag containing weed and cash accidentally donated to a New Zealand charity shop,world,AP News,1773149097736,coordination,coordination_cc_conj_pattern,noun_phrase_fragment,,codex,
71,"PSP Honors Fallen Corporal Timothy O'Connor Jr., Killed During Traffic Stop",domestic,Commonwealth of Pennsylvania (.gov),1773149097430,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
72,'Good decision.' Le Pen supports Hungary blocking EU's Ukraine loan politico.eu,world,Unknown,1774359829880,other,fallback_other,simple_clause,,codex,
73,Top Iranian security official threatens Trump with death politico.eu,world,Unknown,1773149097736,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
74,Justice Sonia Sotomayor issues unusual apology over 'hurtful' remarks about colleague Brett Kavanaugh,domestic,NBC News,1776288260716,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
75,"In a 'Suicide War,' Hezbollah Pulls Israel Onto Its Own Turf in Lebanon",world,Haaretz,1773149097736,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
76,Iran says nuclear sites hit after Israel warns attacks 'will escalate',world,Euronews.com,1774755272716,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
77,CNN Anchor Laughs at Trump Claim That Fox 'Misquoted' Him in Live Interview,domestic,The Daily Beast,1776288260717,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
78,Indonesia starts implementing social media restrictions for children under 16,world,AP News,1774755272716,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
79,Done and Dusted? Trump's Portrayal of the War in Iran Collides With Reality.,world,The New York Times,1776288260900,coordination,coordination_cc_conj_pattern,question_form,,codex,
80,In Defense of Dumb Dogs,world,The New York Times,1776288260901,noun_phrase_fragment,no_finite_clause_nominal_fragment,noun_phrase_fragment,,codex,
81,A bipartisan duo helped force Reps. Swalwell and Gonzales to resign. They say other House members could be next.,domestic,CBS News,1776288260717,coordination,coordination_cc_conj_pattern,simple_clause,,codex,
82,Trump's 'free flow of energy' vow fails to restart shipping in strait of Hormuz,domestic,The Guardian,1773149097430,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
83,Newly released surveillance video shows Oklahoma high school principal tackling gunman,domestic,CBS News,1776288260716,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
84,Iran signals Hormuz safe passage to countries expelling U.S. and Israeli diplomats investingLive,world,Unknown,1773149097737,coordination,coordination_cc_conj_pattern,simple_clause,,codex,
85,"Epic river migrations of fish rapidly collapsing, UN report finds",world,The Guardian,1774359829879,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
86,Citizen Naturalized Under Joe Biden Brutally Murders DHS Employee Lauren Bullis,domestic,Homeland Security (.gov),1776288260717,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
87,"Iran's Hormuz toll booth points toward an L shaped price plateau, not the V shaped recovery traders want",world,Fortune,1774755272717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
88,DOJ's Ed Martin faces ethics charges from disciplinary office over threatening letter to Georgetown University,domestic,CBS News,1773149097430,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
89,Trump says he's 'not happy' with Iran's choice of new supreme leader,world,Fox News,1773149097736,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
90,Californians may need to mail ballots early as Supreme Court signals support for new election day deadline,domestic,Los Angeles Times,1774359829534,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
91,"Billionaires, dark money fuel questions ahead of 2026 midterms",domestic,CBS News,1776288260717,noun_phrase_fragment,no_finite_clause_nominal_fragment,simple_clause,,codex,
92,Xi Jinping says the world order is 'crumbling into disarray.' Larry Fink and the IMF are worried about a global recession,world,Fortune,1776288260900,coordination,coordination_cc_conj_pattern,coordination,,codex,
93,Putin is the real winner in Trump's Iran war as it puts Russian oil back on the map,world,Fortune,1774359829880,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
94,Rubio testifies against friend accused of secretly working for Maduro,domestic,The Washington Post,1774359829534,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
95,U.S. and Iran Predicted a Very Different War Than the One Now Being Waged,domestic,WSJ,1773149097430,passive_clause,passive_dependency_or_aux_vbn,simple_clause,,codex,
96,The 'Fourth Successor': Iran's plan for a long war with the US and Israel,world,Al Jazeera,1773149097737,coordination,coordination_cc_conj_pattern,noun_phrase_fragment,,codex,
97,Rubble without a cause: What's America's Iran endgame?,world,Virgin.com,1773149097737,question_form,question_punctuation_or_interrogative_start,question_form,,codex,
98,Trump administration moves to erase Jan. 6 riot convictions for seditious conspiracy,domestic,NPR,1776288260717,simple_clause,finite_subject_verb_clause,simple_clause,,codex,
